2024-08-26 22:20:41,311 - DEBUG  - 27.40: Job 28 is being processed at the workstation s4-1.
2024-08-26 22:20:41,315 - DEBUG  - 28.20: Job 28 is being processed at the workstation s5-1.
2024-08-26 22:20:41,317 - DEBUG  - 29.50: Job 28 finished at workstation s5-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,275 - DEBUG  - 17.16: Job 29 is released with routing: ['s3-2', 's4-1', 's5-2', 's1-1'], process_times: [1.276 0.572 0.72  0.079]
2024-08-26 22:20:41,283 - DEBUG  - 19.08: Job 29 is being processed at the workstation s3-2.
2024-08-26 22:20:41,307 - DEBUG  - 25.80: Job 29 is being processed at the workstation s4-1.
2024-08-26 22:20:41,309 - DEBUG  - 26.64: Job 29 is being processed at the workstation s5-2.
2024-08-26 22:20:41,320 - DEBUG  - 31.56: Job 29 is being processed at the workstation s1-1.
2024-08-26 22:20:41,322 - DEBUG  - 31.64: Job 29 finished at workstation s1-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,219 - DEBUG  - 3.00: Job 3 is released with routing: ['s1-1', 's2-2', 's5-1'], process_times: [0.542 0.057 1.955]
2024-08-26 22:20:41,223 - DEBUG  - 4.36: Job 3 is being processed at the workstation s1-1.
2024-08-26 22:20:41,230 - DEBUG  - 6.72: Job 3 is being processed at the workstation s2-2.
2024-08-26 22:20:41,238 - DEBUG  - 8.54: Job 3 is being processed at the workstation s5-1.
2024-08-26 22:20:41,244 - DEBUG  - 10.49: Job 3 finished at workstation s5-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,279 - DEBUG  - 18.35: Job 30 is released with routing: ['s2-2', 's1-1'], process_times: [0.615 0.492]
2024-08-26 22:20:41,283 - DEBUG  - 19.35: Job 30 is being processed at the workstation s2-2.
2024-08-26 22:20:41,295 - DEBUG  - 22.26: Job 30 is being processed at the workstation s1-1.
2024-08-26 22:20:41,296 - DEBUG  - 22.75: Job 30 finished at workstation s1-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,286 - DEBUG  - 19.97: Job 31 is released with routing: ['s2-2', 's5-2', 's3-2'], process_times: [0.195 2.665 0.919]
2024-08-26 22:20:41,294 - DEBUG  - 21.99: Job 31 is being processed at the workstation s2-2.
2024-08-26 22:20:41,301 - DEBUG  - 23.97: Job 31 is being processed at the workstation s5-2.
2024-08-26 22:20:41,312 - DEBUG  - 27.42: Job 31 is being processed at the workstation s3-2.
2024-08-26 22:20:41,316 - DEBUG  - 28.33: Job 31 finished at workstation s3-2 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,280 - DEBUG  - 18.52: Job 32 is released with routing: ['s3-1', 's1-1'], process_times: [1.096 1.506]
2024-08-26 22:20:41,284 - DEBUG  - 19.52: Job 32 is being processed at the workstation s3-1.
2024-08-26 22:20:41,309 - DEBUG  - 26.71: Job 32 is being processed at the workstation s1-1.
2024-08-26 22:20:41,315 - DEBUG  - 28.21: Job 32 finished at workstation s1-1 and is transported to the warehouse output-warehouse
